Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729478957845,574,3590,4225,2396,400,3444,1401,4686,3.22580623626709,10,3.3333334922790527,6.45161247253418,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,0,141570.50775146484,247768.48126220703,1518.806640625,16459386880,19327344640,1322733568,4059267072
200,1729478957845,574,3590,4225,2396,400,3444,1401,4686,3.22580623626709,10,3.3333334922790527,6.45161247253418,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,0,141570.52142333984,247768.48760986328,1518.806640625,16459386880,19327344640,1322733568,4059267072
200,1729478958045,574,3590,4225,2396,400,3444,1401,4686,28.571430206298828,47.36842346191406,0,0,0,0,0,0,0,141573.95379638672,247771.26385498047,1518.8121337890625,16459386880,19327344640,1559216128,4059267072
200,1729478958245,574,3590,4225,2396,400,3444,1401,4686,5,70.5882339477539,0,0,0,4.761904716491699,5,0,0,141577.28155517578,247773.92181396484,1518.81396484375,16459386880,19327344640,1771335680,4059267072
200,1729478958445,574,3590,4225,2396,400,3444,1401,4686,0,75,0,0,0,0,0,0,0,141580.64471435547,247776.61651611328,1518.81396484375,16459386880,19327344640,1995259904,4059267072
200,1729478958645,574,3590,4225,2396,400,3444,1401,4686,0,71.42857360839844,0,0,0,0,0,5,0,141584.04553222656,247779.34301757813,1518.8170166015625,16459386880,19327344640,2220707840,4059004928
200,1729478958845,574,3590,4225,2396,400,3444,1401,4686,5,75,0,0,0,0,0,0,0,141587.43585205078,247782.060546875,1518.8170166015625,16459386880,19327344640,2451984384,4059004928
200,1729478959045,574,3590,4225,2396,400,3444,1401,4686,0,75,0,0,0,0,4.761904716491699,0,0,141590.8250732422,247784.77996826172,1518.8170166015625,16459386880,19327344640,2673889280,4059004928
200,1729478959245,574,3590,4225,2396,400,3444,1401,4686,0,75,0,0,0,0,0,0,0,141594.25286865234,247787.53155517578,1518.8199462890625,16459386880,19327344640,2907717632,4059004928
200,1729478959445,574,3590,4225,2396,400,3444,1401,4686,0,60.000003814697266,9.523809432983398,0,0,0,0,0,0,141597.6435546875,247790.2514038086,1518.8199462890625,16459386880,19327344640,3135504384,4059004928
200,1729478959645,574,3590,4225,2396,400,3444,1401,4686,4.761904716491699,0,75,0,0,0,0,0,0,141601.26794433594,247793.22662353516,1518.8199462890625,16459386880,19327344640,3370024960,4058742784
200,1729478959846,574,3590,4225,2396,400,3444,1401,4686,63.15789031982422,5,15.789472579956055,0,0,0,4.761904716491699,0,0,141604.91064453125,247796.20928955078,1518.8231201171875,16459386880,19327344640,3600252928,4058742784
200,1729478960046,574,3590,4225,2396,400,3444,1401,4686,28.571430206298828,0,52.38095474243164,0,0,0,0,0,0,141608.59588623047,247799.23828125,1518.8231201171875,16459386880,19327344640,3837931520,4058742784
200,1729478960246,574,3590,4225,2396,400,3444,1401,4686,4.761904716491699,0,78.94737243652344,0,0,0,0,0,0,141612.2407836914,247802.22930908203,1518.826171875,16459386880,19327344640,4084154368,4058742784
200,1729478960446,574,3590,4225,2396,400,3444,1401,4686,5,0,75,0,0,0,0,0,0,141615.85876464844,247805.19146728516,1518.830078125,16459386880,19327344640,4318117888,4058742784
200,1729478960646,574,3590,4225,2396,400,3444,1401,4686,0,0,75,0,0,4.761904716491699,4.761904716491699,0,0,141619.4912109375,247808.17254638672,1518.830078125,16459386880,19327344640,4561874944,4058742784
200,1729478960846,574,3590,4225,2396,400,3444,1401,4686,42.105262756347656,0,38.095237731933594,0,0,0,5,0,0,141623.13732910156,247811.15747070313,1518.8328857421875,16459386880,19327344640,4798431232,4058742784
