Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729564562978,4300,4300,4299,3835,4300,4006,4300,3821,6.6666669845581055,13.793103218078613,6.896551609039307,0,10,3.3333334922790527,13.793103218078613,3.4482758045196533,0,253734.5962524414,110802.50158691406,5770.9150390625,16459386880,19327344640,1412513792,7745462272
200,1729564562978,4300,4300,4299,3835,4300,4006,4300,3821,6.6666669845581055,13.793103218078613,6.896551609039307,0,10,3.3333334922790527,13.793103218078613,3.4482758045196533,0,253734.5962524414,110802.50158691406,5770.9150390625,16459386880,19327344640,1412513792,7745462272
200,1729564563178,4300,4300,4299,3835,4300,4006,4300,3821,4.761904716491699,70,0,0,0,0,0,0,0,253737.9849243164,110805.22723388672,5770.9217529296875,16459386880,19327344640,1637040128,7745462272
200,1729564563378,4300,4300,4299,3835,4300,4006,4300,3821,0,72.22222137451172,0,0,0,0,0,0,0,253741.39379882813,110807.94982910156,5770.9217529296875,16459386880,19327344640,1851396096,7745462272
200,1729564563578,4300,4300,4299,3835,4300,4006,4300,3821,0,72.22222137451172,0,0,0,0,0,0,0,253744.82830810547,110810.73034667969,5770.9217529296875,16459386880,19327344640,2071388160,7745462272
200,1729564563778,4300,4300,4299,3835,4300,4006,4300,3821,4.761904716491699,0,31.57894515991211,0,40,0,0,0,0,253748.373046875,110813.61602783203,5770.923095703125,16459386880,19327344640,2292154368,7745462272
200,1729564563978,4300,4300,4299,3835,4300,4006,4300,3821,0,0,36.842105865478516,0,33.333335876464844,0,0,4.761904716491699,0,253751.92449951172,110816.51727294922,5770.923095703125,16459386880,19327344640,2532216832,7745462272
200,1729564564178,4300,4300,4299,3835,4300,4006,4300,3821,0,0,0,0,73.68421173095703,0,0,0,0,253755.49005126953,110819.42694091797,5770.927490234375,16459386880,19327344640,2770124800,7745462272
200,1729564564379,4300,4300,4299,3835,4300,4006,4300,3821,0,0,0,0,73.68421173095703,0,0,0,0,253759.0443725586,110822.32879638672,5770.927490234375,16459386880,19327344640,2997805056,7745462272
200,1729564564579,4300,4300,4299,3835,4300,4006,4300,3821,0,0,0,0,71.42857360839844,0,0,0,0,253762.6365966797,110825.26885986328,5770.927490234375,16459386880,19327344640,3218497536,7745462272
