Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729542115967,3196,2290,4300,4299,4219,3161,4299,4300,0,16.666667938232422,6.896551609039307,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,0,97336.94982910156,19276.750732421875,5687.1834716796875,16459386880,19327344640,1104044032,6852034560
200,1729542115967,3196,2290,4300,4299,4219,3161,4299,4300,0,16.666667938232422,6.896551609039307,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,0,97336.96759033203,19276.7646484375,5687.1834716796875,16459386880,19327344640,1104044032,6852034560
200,1729542116167,3196,2290,4300,4299,4219,3161,4299,4300,95,0,0,0,0,0,0,0,0,97341.25714111328,19280.45526123047,5687.2042236328125,16459386880,19327344640,1166389248,6849937408
200,1729542116367,3196,2290,4300,4299,4219,3161,4299,4300,35,0,0,0,65,0,4.761904716491699,0,0,97345.59326171875,19284.220458984375,5687.2042236328125,16459386880,19327344640,1207844864,6849937408
200,1729542116568,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,100,0,0,0,0,97349.94500732422,19287.993286132813,5687.205322265625,16459386880,19327344640,1227395072,6849937408
200,1729542116768,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,100,0,0,0,0,97354.26739501953,19291.74462890625,5687.205322265625,16459386880,19327344640,1252683776,6849413120
200,1729542116968,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,100,4.761904716491699,0,0,0,97358.61981201172,19295.523071289063,5687.205322265625,16459386880,19327344640,1268932608,6849413120
200,1729542117168,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,100,0,0,0,0,97362.94647216797,19299.26922607422,5687.2115478515625,16459386880,19327344640,1287708672,6847053824
200,1729542117368,3196,2290,4300,4299,4219,3161,4299,4300,4.761904716491699,0,0,4.761904716491699,100,0,5,0,0,97367.27014160156,19303.01788330078,5687.2115478515625,16459386880,19327344640,1305194496,6846791680
200,1729542117568,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,100,0,0,0,0,97371.3324584961,19306.447875976563,5687.2115478515625,16459386880,19327344640,1320873984,6846791680
0,1729542117769,3196,2290,4300,4299,4219,3161,4299,4300,0,0,0,0,15.789472579956055,0,0,0,0,97372.61114501953,19307.17138671875,5687.2247314453125,16459386880,19327344640,1250750464,6846791680
