Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729439478216,2977,400,2062,4134,801,4516,400,884,3.3333334922790527,10,3.3333334922790527,6.6666669845581055,3.3333334922790527,3.22580623626709,3.3333334922790527,3.3333334922790527,0,221338.39111328125,180441.3056640625,1271.9505615234375,16459386880,19327344640,1359122432,2161840128
200,1729439478216,2977,400,2062,4134,801,4516,400,884,3.3333334922790527,10,3.3333334922790527,6.6666669845581055,3.3333334922790527,3.22580623626709,3.3333334922790527,3.3333334922790527,0,221338.39111328125,180441.3056640625,1271.9505615234375,16459386880,19327344640,1359122432,2161840128
200,1729439478417,2977,400,2062,4134,801,4516,400,884,90,10.526315689086914,0,0,0,0,0,0,0,221342.69464111328,180445.01013183594,1271.9505615234375,16459386880,19327344640,1439035392,2161840128
200,1729439478617,2977,400,2062,4134,801,4516,400,884,100,0,0,0,0,0,0,0,0,221346.7977294922,180448.46600341797,1271.955078125,16459386880,19327344640,1476063232,2161840128
200,1729439478817,2977,400,2062,4134,801,4516,400,884,100,4.761904716491699,0,0,0,0,0,0,0,221350.9077758789,180451.9448852539,1271.9598388671875,16459386880,19327344640,1528102912,2161840128
200,1729439479017,2977,400,2062,4134,801,4516,400,884,100,0,5,0,0,0,0,0,0,221355.05206298828,180455.44989013672,1271.96142578125,16459386880,19327344640,1571213312,2161840128
200,1729439479217,2977,400,2062,4134,801,4516,400,884,100,4.761904716491699,0,0,0,0,0,0,0,221359.1109008789,180458.86572265625,1271.96142578125,16459386880,19327344640,1615466496,2161840128
200,1729439479417,2977,400,2062,4134,801,4516,400,884,100,0,0,0,0,0,0,0,0,221363.08923339844,180462.1812133789,1271.9627685546875,16459386880,19327344640,1651994624,2161840128
200,1729439479617,2977,400,2062,4134,801,4516,400,884,100,0,5,0,0,0,0,0,0,221367.24279785156,180465.69116210938,1271.96533203125,16459386880,19327344640,1696747520,2161840128
200,1729439479817,2977,400,2062,4134,801,4516,400,884,100,4.761904716491699,0,0,0,0,0,0,0,221371.27227783203,180469.1040649414,1271.96533203125,16459386880,19327344640,1747218432,2161840128
