Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729445181132,4164,1940,4303,4442,400,400,4653,2277,3.4482758045196533,13.793103218078613,10,3.4482758045196533,3.3333334922790527,0,6.45161247253418,0,0,61592.41876220703,3374.8569946289063,1306.8096923828125,16459386880,19327344640,1254023168,2461474816
200,1729445181132,4164,1940,4303,4442,400,400,4653,2277,3.4482758045196533,13.793103218078613,10,3.4482758045196533,3.3333334922790527,0,6.45161247253418,0,0,61592.41876220703,3374.8569946289063,1306.8096923828125,16459386880,19327344640,1254023168,2461474816
200,1729445181333,4164,1940,4303,4442,400,400,4653,2277,5,0,0,100,0,0,0,0,0,61596.07336425781,3377.9263916015625,1306.82470703125,16459386880,19327344640,1260437504,2461474816
200,1729445181533,4164,1940,4303,4442,400,400,4653,2277,4.761904716491699,0,0,100,0,0,0,0,0,61599.80383300781,3381.068115234375,1306.82470703125,16459386880,19327344640,1262243840,2461474816
200,1729445181733,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61603.505310058594,3384.2288208007813,1306.826171875,16459386880,19327344640,1264422912,2461474816
200,1729445181933,4164,1940,4303,4442,400,400,4653,2277,9.523809432983398,0,5,100,0,0,0,4.761904716491699,0,61607.26501464844,3387.4086303710938,1306.829833984375,16459386880,19327344640,1264676864,2460950528
200,1729445182133,4164,1940,4303,4442,400,400,4653,2277,0,0,4.761904716491699,100,0,0,0,0,0,61610.957580566406,3390.5374145507813,1306.829833984375,16459386880,19327344640,1266483200,2460950528
200,1729445182333,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61614.66241455078,3393.6710205078125,1306.8330078125,16459386880,19327344640,1258061824,2460950528
200,1729445182533,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61618.38507080078,3396.8217163085938,1306.835205078125,16459386880,19327344640,1258061824,2460950528
200,1729445182734,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61622.06121826172,3399.9373168945313,1306.835205078125,16459386880,19327344640,1259868160,2460950528
200,1729445182934,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61625.730712890625,3403.048828125,1306.835205078125,16459386880,19327344640,1261932544,2460950528
200,1729445183134,4164,1940,4303,4442,400,400,4653,2277,0,5,5,100,0,0,0,0,0,61629.45910644531,3406.201904296875,1306.83837890625,16459386880,19327344640,1261932544,2460950528
200,1729445183334,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61633.15539550781,3409.3300170898438,1306.8394775390625,16459386880,19327344640,1261932544,2460950528
200,1729445183534,4164,1940,4303,4442,400,400,4653,2277,0,0,0,100,0,0,0,0,0,61636.852966308594,3412.4676513671875,1306.8394775390625,16459386880,19327344640,1261932544,2460950528
