Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729480373396,4300,2765,4300,2722,4300,3500,4308,4300,3.4482758045196533,10.344827651977539,6.896551609039307,3.4482758045196533,10,3.4482758045196533,3.4482758045196533,0,0,167645.6196899414,7802.393798828125,1523.5091552734375,16459386880,19327344640,1143054336,4331892736
200,1729480373396,4300,2765,4300,2722,4300,3500,4308,4300,3.4482758045196533,10.344827651977539,6.896551609039307,3.4482758045196533,10,3.4482758045196533,3.4482758045196533,0,0,167645.6196899414,7802.393798828125,1523.5091552734375,16459386880,19327344640,1143054336,4331892736
200,1729480373597,4300,2765,4300,2722,4300,3500,4308,4300,5,60.000003814697266,0,0,0,31.57894515991211,0,0,0,167649.40423583984,7805.57958984375,1523.523681640625,16459386880,19327344640,1200947200,4331892736
200,1729480373797,4300,2765,4300,2722,4300,3500,4308,4300,0,100,0,0,0,0,0,0,0,167653.09149169922,7808.663391113281,1523.5345458984375,16459386880,19327344640,1238487040,4331892736
200,1729480373997,4300,2765,4300,2722,4300,3500,4308,4300,4.761904716491699,35,0,0,0,71.42857360839844,0,4.761904716491699,0,167656.74774169922,7811.776916503906,1523.5345458984375,16459386880,19327344640,1254678528,4331630592
200,1729480374197,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,100,0,0,0,167660.47326660156,7814.908447265625,1523.5518798828125,16459386880,19327344640,1277624320,4331106304
200,1729480374397,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,100,0,0,0,167664.1332397461,7817.98779296875,1523.5616455078125,16459386880,19327344640,1288978432,4331106304
200,1729480374597,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,100,0,0,0,167667.8031616211,7821.08984375,1523.5616455078125,16459386880,19327344640,1311944704,4331106304
200,1729480374797,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,100,0,5,0,167671.46655273438,7824.177673339844,1523.5648193359375,16459386880,19327344640,1325490176,4331106304
200,1729480374997,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,100,0,0,0,167675.1083984375,7827.2528076171875,1523.5648193359375,16459386880,19327344640,1341231104,4331106304
0,1729480375198,4300,2765,4300,2722,4300,3500,4308,4300,0,0,0,0,0,68.42105102539063,0,0,0,167677.9921875,7829.465759277344,1523.5699462890625,16459386880,19327344640,1279811584,4331106304
