Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729475436117,3778,519,400,3812,4187,670,4217,2496,3.3333334922790527,7.142857551574707,3.4482758045196533,6.896551609039307,3.4482758045196533,6.45161247253418,0,3.4482758045196533,0,74616.21942138672,190526.89599609375,1505.6226806640625,16459386880,19327344640,1259286528,4027367424
200,1729475436117,3778,519,400,3812,4187,670,4217,2496,3.3333334922790527,7.142857551574707,3.4482758045196533,6.896551609039307,3.4482758045196533,6.45161247253418,0,3.4482758045196533,0,74616.21942138672,190526.89599609375,1505.6226806640625,16459386880,19327344640,1259286528,4027367424
200,1729475436317,3778,519,400,3812,4187,670,4217,2496,0,0,0,4.761904716491699,0,100,0,0,0,74620.19116210938,190530.28356933594,1505.63720703125,16459386880,19327344640,1315229696,4027367424
200,1729475436517,3778,519,400,3812,4187,670,4217,2496,0,0,0,0,0,100,0,0,0,74623.91998291016,190533.4594116211,1505.63720703125,16459386880,19327344640,1345306624,4027367424
200,1729475436718,3778,519,400,3812,4187,670,4217,2496,4.761904716491699,0,0,0,4.761904716491699,100,0,4.545454502105713,0,74627.73217773438,190536.69165039063,1505.63720703125,16459386880,19327344640,1366982656,4027285504
200,1729475436918,3778,519,400,3812,4187,670,4217,2496,5,0,0,0,0,100,4.761904716491699,0,0,74631.515625,190539.9259033203,1505.641357421875,16459386880,19327344640,1385455616,4027277312
200,1729475437118,3778,519,400,3812,4187,670,4217,2496,0,0,0,5,0,100,0,0,0,74635.30364990234,190543.1498413086,1505.641357421875,16459386880,19327344640,1410486272,4027215872
200,1729475437318,3778,519,400,3812,4187,670,4217,2496,0,0,0,0,0,100,0,0,0,74639.0386352539,190546.32080078125,1505.6468505859375,16459386880,19327344640,1416257536,4027174912
200,1729475437518,3778,519,400,3812,4187,670,4217,2496,4.761904716491699,0,0,0,0,100,0,0,0,74642.74963378906,190549.46893310547,1505.649169921875,16459386880,19327344640,1433546752,4027174912
200,1729475437718,3778,519,400,3812,4187,670,4217,2496,0,5,0,0,0,100,0,0,0,74646.49237060547,190552.62622070313,1505.649169921875,16459386880,19327344640,1449029632,4027162624
0,1729475437918,3778,519,400,3812,4187,670,4217,2496,0,0,0,0,0,35,5,0,0,74648.28344726563,190553.88159179688,1505.6590576171875,16459386880,19327344640,1424420864,4027146240
