Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729484164943,2937,4300,4300,4128,3878,4300,4300,4299,3.4482758045196533,17.241378784179688,3.4482758045196533,0,6.896551609039307,0,3.4482758045196533,3.4482758045196533,0,240230.99871826172,69258.943359375,1539.2166748046875,16459386880,19327344640,1257852928,4559482880
200,1729484164943,2937,4300,4300,4128,3878,4300,4300,4299,3.4482758045196533,17.241378784179688,3.4482758045196533,0,6.896551609039307,0,3.4482758045196533,3.4482758045196533,0,240230.99871826172,69258.943359375,1539.2166748046875,16459386880,19327344640,1257852928,4559482880
200,1729484165143,2937,4300,4300,4128,3878,4300,4300,4299,0,70,26.3157901763916,0,0,0,0,0,0,240235.06372070313,69262.39660644531,1539.2384033203125,16459386880,19327344640,1334468608,4559482880
200,1729484165343,2937,4300,4300,4128,3878,4300,4300,4299,4.761904716491699,0,100,0,0,0,0,0,0,240239.15606689453,69265.85559082031,1539.2384033203125,16459386880,19327344640,1379487744,4559482880
200,1729484165543,2937,4300,4300,4128,3878,4300,4300,4299,0,0,100,0,0,0,0,0,0,240243.20794677734,69269.29736328125,1539.2384033203125,16459386880,19327344640,1439457280,4559482880
200,1729484165743,2937,4300,4300,4128,3878,4300,4300,4299,0,0,100,5,0,0,5,0,0,240247.32873535156,69272.79895019531,1539.2420654296875,16459386880,19327344640,1492447232,4559220736
200,1729484165943,2937,4300,4300,4128,3878,4300,4300,4299,9.523809432983398,0,100,0,0,0,0,0,0,240251.3331298828,69276.17370605469,1539.2431640625,16459386880,19327344640,1536434176,4559220736
200,1729484166143,2937,4300,4300,4128,3878,4300,4300,4299,0,4.761904716491699,100,0,0,0,0,0,0,240255.2489013672,69279.4506225586,1539.2431640625,16459386880,19327344640,1572962304,4558958592
200,1729484166344,2937,4300,4300,4128,3878,4300,4300,4299,0,5,100,0,0,0,0,0,0,240259.31964111328,69282.89514160156,1539.25,16459386880,19327344640,1603203072,4558958592
200,1729484166544,2937,4300,4300,4128,3878,4300,4300,4299,0,0,100,0,0,0,0,0,0,240263.27569580078,69286.25415039063,1539.254638671875,16459386880,19327344640,1654915072,4558958592
200,1729484166744,2937,4300,4300,4128,3878,4300,4300,4299,5,0,100,0,0,0,0,4.761904716491699,0,240267.1846923828,69289.49700927734,1539.254638671875,16459386880,19327344640,1684750336,4558958592
200,1729484166944,2937,4300,4300,4128,3878,4300,4300,4299,0,0,5,0,0,0,94.73684692382813,0,0,240271.22332763672,69292.94750976563,1539.255126953125,16459386880,19327344640,1752956928,4558958592
200,1729484167144,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240275.2755126953,69296.37512207031,1539.2581787109375,16459386880,19327344640,1806483456,4558958592
200,1729484167344,2937,4300,4300,4128,3878,4300,4300,4299,4.761904716491699,0,0,0,0,0,100,0,0,240279.04663085938,69299.47448730469,1539.2705078125,16459386880,19327344640,1828593664,4558958592
200,1729484167545,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240283.27166748047,69303.14636230469,1539.2705078125,16459386880,19327344640,1903980544,4558958592
200,1729484167745,2937,4300,4300,4128,3878,4300,4300,4299,5,0,0,0,0,0,100,0,0,240287.24169921875,69306.44451904297,1539.27490234375,16459386880,19327344640,1933815808,4558958592
200,1729484167945,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240290.89819335938,69309.44842529297,1539.2767333984375,16459386880,19327344640,1964408832,4558958592
200,1729484168145,2937,4300,4300,4128,3878,4300,4300,4299,0,4.761904716491699,0,5,0,0,100,0,0,240295.1561279297,69313.14978027344,1539.2767333984375,16459386880,19327344640,2030505984,4558696448
200,1729484168345,2937,4300,4300,4128,3878,4300,4300,4299,5,0,0,0,0,0,100,0,0,240299.328125,69316.74835205078,1539.280029296875,16459386880,19327344640,2098167808,4558696448
200,1729484168545,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240303.0361328125,69319.72247314453,1539.280029296875,16459386880,19327344640,2098167808,4558696448
200,1729484168745,2937,4300,4300,4128,3878,4300,4300,4299,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,100,0,0,240306.7875366211,69322.86102294922,1539.280029296875,16459386880,19327344640,2143637504,4558696448
200,1729484168946,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240311.0411376953,69326.52911376953,1539.2994384765625,16459386880,19327344640,2218250240,4558696448
200,1729484169146,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240315.27728271484,69330.2095336914,1539.2994384765625,16459386880,19327344640,2284601344,4558696448
200,1729484169346,2937,4300,4300,4128,3878,4300,4300,4299,5,0,0,0,0,0,100,0,0,240319.05932617188,69333.30877685547,1539.3001708984375,16459386880,19327344640,2307244032,4558696448
200,1729484169546,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240322.5087890625,69336.03582763672,1539.304443359375,16459386880,19327344640,2307244032,4558696448
200,1729484169746,2937,4300,4300,4128,3878,4300,4300,4299,4.761904716491699,0,0,0,0,0,100,0,0,240326.55755615234,69339.50219726563,1539.304443359375,16459386880,19327344640,2367447040,4558696448
200,1729484169946,2937,4300,4300,4128,3878,4300,4300,4299,5,0,0,0,0,4.761904716491699,100,0,0,240330.76708984375,69343.15545654297,1539.304443359375,16459386880,19327344640,2441703424,4558696448
200,1729484170146,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240335.0096435547,69346.83526611328,1539.307861328125,16459386880,19327344640,2517872640,4558696448
200,1729484170347,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240338.9926147461,69350.21112060547,1539.3087158203125,16459386880,19327344640,2569576448,4558696448
200,1729484170547,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240342.9100341797,69353.3832397461,1539.3087158203125,16459386880,19327344640,2569576448,4558696448
200,1729484170747,2937,4300,4300,4128,3878,4300,4300,4299,9.090909004211426,5,0,0,0,0,100,0,0,240346.02459716797,69355.79113769531,1539.31201171875,16459386880,19327344640,2569285632,4558696448
200,1729484170947,2937,4300,4300,4128,3878,4300,4300,4299,0,0,0,0,0,0,100,0,0,240350.21838378906,69359.41241455078,1539.31201171875,16459386880,19327344640,2637213696,4558696448
