Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729548793365,3713,4299,3992,4300,4238,4299,3869,4300,3.4482758045196533,16.666667938232422,0,0,0,3.4482758045196533,3.5714287757873535,0,0,223337.3042602539,125854.1064453125,5711.0323486328125,16459386880,19327344640,1229516800,7085813760
200,1729548793365,3713,4299,3992,4300,4238,4299,3869,4300,3.4482758045196533,16.666667938232422,0,0,0,3.4482758045196533,3.5714287757873535,0,0,223337.3042602539,125854.1064453125,5711.0323486328125,16459386880,19327344640,1229516800,7085813760
0,1729548793565,3713,4299,3992,4300,4238,4299,3869,4300,25,0,0,0,0,0,0,0,0,223339.07061767578,125855.34112548828,5711.0465087890625,16459386880,19327344640,1247604736,7085813760
