__run_id,__done,problem,solution,Time,PACKAGE_ENERGY,CPU_USAGE_0_MEAN,CPU_USAGE_1_MEAN,CPU_USAGE_2_MEAN,CPU_USAGE_3_MEAN,CPU_USAGE_4_MEAN,CPU_USAGE_5_MEAN,CPU_USAGE_6_MEAN,CPU_USAGE_7_MEAN,CPU_USAGE_0_MEDIAN,CPU_USAGE_1_MEDIAN,CPU_USAGE_2_MEDIAN,CPU_USAGE_3_MEDIAN,CPU_USAGE_4_MEDIAN,CPU_USAGE_5_MEDIAN,CPU_USAGE_6_MEDIAN,CPU_USAGE_7_MEDIAN,USED_MEMORY_MEAN,USED_SWAP_MEAN,USED_MEMORY_MEDIAN,USED_SWAP_MEDIAN,USED_MEMORY_MAX,USED_SWAP_MAX
run_2_repetition_0,DONE,fibonacci_modified,efficient,600808,11186.485229492173,1.1344733903315984,0.4631577590492848,0.2589236891539532,57.52185883645846,0.308351362592847,0.343259186624052,0.2844619855741051,42.59085744579686,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2016796354.3009322,1609799513.6511319,2043400192.0,1609302016.0,2150625280,1611661312
run_16_repetition_10,DONE,median_array,basic,1802,35.56951904296875,1.9473055492747913,2.31377818367698,21.03821472688155,1.173020449551669,2.9476584521206943,0.6060606349598278,56.86147195642645,0.6060606349598278,0.0,0.0,3.4482758045196533,0.0,0.0,0.0,85.71428680419922,0.0,1932612328.7272727,1609039872.0,1950556160.0,1609039872.0,2013159424,1609039872
run_1_repetition_21,DONE,fibonacci_modified,basic,603596,11284.738342285156,2.481007687772166,0.4790628815898048,23.992821764835387,0.36316014378966677,0.6030126254711821,0.2788996085020941,74.2986547311779,0.31654742318640644,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2117733900.5540092,1572018329.3624916,2160791552.0,1544290304.0,2240954368,1609039872
run_14_repetition_18,DONE,largest_rectangle,efficient,237750,4780.907897949248,0.9411309907416335,0.3452042723904137,9.32585667201451,0.12668703784461782,0.1287060268786775,0.1352904792593307,90.48166635978122,0.13224600102721143,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2491177982.2789917,1543241728.0,2500952064.0,1543241728.0,2674868224,1543241728
run_3_repetition_17,DONE,closest_numbers,human,79646,1608.7332153320312,42.214625902175904,16.03085267663002,15.987226870059967,27.322267994880676,8.83411371231079,26.960093842744826,8.114896777272225,23.271805802583696,30.000001907348636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15332002478.08,14939031920.64,16390522880.0,17715011584.0,16410091520,19320233984
run_4_repetition_19,DONE,closest_numbers,basic,121080,2324.8822021484375,36.936712380874255,15.146128617042352,16.21498753019601,25.559473771497238,9.252245486866345,17.614312971919038,30.729012083416144,20.096889184526177,20.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,0.0,15621606178.27438,15135142517.633059,16402182144.0,17278967808.0,16459386880,19327344640
run_14_repetition_14,DONE,largest_rectangle,efficient,227367,4550.838317871079,92.38697962224589,1.406111249605256,0.16992673304043251,0.2366306785958932,7.075520549800987,0.25744661128374313,0.1398046951092819,0.07155410434743013,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677999166.9876976,2147187634.6151142,1680121856.0,2146791424.0,1867218944,2154655744
run_6_repetition_2,DONE,array_manipulation,human,712395,9990.21264648439,16.231467497609827,3.580661052067182,5.089404733846322,6.681518151745376,6.681240743161051,7.611791955962869,6.701260097772469,5.244431333753381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15570720628.860191,11246585965.241999,16310171648.0,10901483520.0,16454651904,19327344640
run_4_repetition_10,DONE,closest_numbers,basic,102856,1973.374267578125,25.099590564883034,15.753316982309947,17.18374173678169,8.433003189489822,12.321165506229844,15.632796892362048,22.34802400049313,17.177592648092165,8.295454740524292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15484899677.271318,14567836298.914728,16383811584.0,16435980288.0,16445165568,19327320064
run_15_repetition_3,DONE,median_array,human,272196,5397.5091552734375,86.51605469364777,0.5480385950483414,0.16225820070846492,0.15266439918204378,13.474605624721264,0.0938685255428768,0.27709794744696037,0.17192058906331112,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224652953.3744493,2114495985.7151248,1229094912.0,2114580480.0,1279041536,2120871936
run_1_repetition_5,DONE,fibonacci_modified,basic,602780,11081.860229492188,0.7562752718473003,0.3401813007144637,5.732944369395205,27.20818189872205,0.13753278253880571,0.08628292058427048,17.553633128876868,49.71046289150969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1359973943.3788984,2099330813.791639,1400590336.0,2098851840.0,1502334976,2108026880
run_7_repetition_12,DONE,array_manipulation,basic,349414,5749.8006591796875,26.68904293401836,3.3397089172009746,2.8051297582805295,15.857082058690505,6.1852162689038765,10.153078991979429,5.870899931244228,9.84582301462815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13881810412.08238,9795288553.73913,16299757568.0,11225317376.0,16432607232,18517843968
run_10_repetition_1,DONE,hourglass_sum,basic,227546,4622.348876953125,2.060271151344226,1.6719199307033952,7.732728877749958,33.623236850649775,0.7720772485339505,0.6494044508193019,27.190683037487428,32.837330623087496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8304647170.697103,1982854921.664618,8717434880.0,2079809536.0,9631301632,2087411712
