Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729440866488,3450,4347,3164,3933,4300,400,4340,4142,6.6666669845581055,13.793103218078613,3.4482758045196533,3.4482758045196533,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,0,244667.4207763672,199304.58782958984,1280.3167724609375,16459386880,19327344640,1281884160,2311659520
200,1729440866488,3450,4347,3164,3933,4300,400,4340,4142,6.6666669845581055,13.793103218078613,3.4482758045196533,3.4482758045196533,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,0,244667.43688964844,199304.60034179688,1280.3167724609375,16459386880,19327344640,1281884160,2311659520
200,1729440866688,3450,4347,3164,3933,4300,400,4340,4142,94.73684692382813,4.761904716491699,0,4.761904716491699,0,0,0,0,0,244671.46392822266,199307.99291992188,1280.3167724609375,16459386880,19327344640,1719877632,2311659520
200,1729440866889,3450,4347,3164,3933,4300,400,4340,4142,100,0,0,0,4.761904716491699,4.761904716491699,0,0,0,244675.9991455078,199311.92114257813,1280.3167724609375,16459386880,19327344640,1931423744,2311659520
200,1729440867089,3450,4347,3164,3933,4300,400,4340,4142,100,9.523809432983398,0,0,0,4.761904716491699,0,0,0,244680.58544921875,199315.84490966797,1280.346435546875,16459386880,19327344640,2066472960,2311659520
200,1729440867289,3450,4347,3164,3933,4300,400,4340,4142,100,0,4.545454502105713,0,0,0,0,0,0,244684.98657226563,199319.6177368164,1280.346435546875,16459386880,19327344640,1766404096,2311659520
200,1729440867489,3450,4347,3164,3933,4300,400,4340,4142,100,0,0,0,0,0,0,4.761904716491699,0,244689.27563476563,199323.31964111328,1280.34814453125,16459386880,19327344640,1766404096,2311659520
200,1729440867689,3450,4347,3164,3933,4300,400,4340,4142,100,0,0,0,0,0,0,0,0,244693.59844970703,199327.04846191406,1280.3544921875,16459386880,19327344640,1766404096,2311659520
200,1729440867889,3450,4347,3164,3933,4300,400,4340,4142,26.3157901763916,4.761904716491699,0,0,70,0,0,0,0,244697.87384033203,199330.74353027344,1280.3544921875,16459386880,19327344640,1755537408,2311659520
200,1729440868089,3450,4347,3164,3933,4300,400,4340,4142,0,0,0,0,100,0,0,0,0,244702.20416259766,199334.47692871094,1280.362548828125,16459386880,19327344640,1755537408,2311659520
