Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729498245384,4300,4299,4300,4300,4299,4300,4300,4299,6.6666669845581055,13.333333969116211,10.344827651977539,6.896551609039307,6.896551609039307,7.142857551574707,6.6666669845581055,3.4482758045196533,0,239762.03369140625,27099.829528808594,1601.2362060546875,16459386880,19327344640,1164582912,5479337984
200,1729498245384,4300,4299,4300,4300,4299,4300,4300,4299,6.6666669845581055,13.333333969116211,10.344827651977539,6.896551609039307,6.896551609039307,7.142857551574707,6.6666669845581055,3.4482758045196533,0,239762.03369140625,27099.829528808594,1601.2362060546875,16459386880,19327344640,1164582912,5479337984
200,1729498245584,4300,4299,4300,4300,4299,4300,4300,4299,15.000000953674316,52.6315803527832,0,0,4.761904716491699,0,21.052631378173828,0,0,239765.66162109375,27102.746032714844,1601.2508544921875,16459386880,19327344640,1401933824,5479075840
200,1729498245784,4300,4299,4300,4300,4299,4300,4300,4299,0,0,0,0,0,0,84.21052551269531,0,0,239769.4620361328,27105.84796142578,1601.2508544921875,16459386880,19327344640,1668468736,5479075840
200,1729498245985,4300,4299,4300,4300,4299,4300,4300,4299,0,4.761904716491699,0,0,0,0,90,4.761904716491699,0,239773.3182373047,27109.00372314453,1601.2508544921875,16459386880,19327344640,1934704640,5478813696
200,1729498246185,4300,4299,4300,4300,4299,4300,4300,4299,4.761904716491699,0,5,4.761904716491699,0,0,85,0,0,239777.08569335938,27112.068237304688,1601.2579345703125,16459386880,19327344640,2182885376,5478027264
200,1729498246385,4300,4299,4300,4300,4299,4300,4300,4299,0,0,0,0,0,0,85,0,0,239780.9291381836,27115.212890625,1601.260009765625,16459386880,19327344640,2448089088,5477502976
200,1729498246585,4300,4299,4300,4300,4299,4300,4300,4299,4.761904716491699,0,0,0,0,0,88.8888931274414,0,0,239784.79858398438,27118.386962890625,1601.260009765625,16459386880,19327344640,2712985600,5477240832
200,1729498246785,4300,4299,4300,4300,4299,4300,4300,4299,0,0,0,0,0,0,86.36363983154297,0,0,239788.66827392578,27121.552490234375,1601.26416015625,16459386880,19327344640,2977161216,5477240832
200,1729498246985,4300,4299,4300,4300,4299,4300,4300,4299,4.761904716491699,5.263157844543457,47.619049072265625,0,4.761904716491699,0,40,0,0,239792.5145263672,27124.701416015625,1601.26416015625,16459386880,19327344640,3247616000,5477240832
200,1729498247185,4300,4299,4300,4300,4299,4300,4300,4299,0,0,90,0,0,0,0,0,0,239796.47045898438,27127.960021972656,1601.26416015625,16459386880,19327344640,3530907648,5477240832
200,1729498247385,4300,4299,4300,4300,4299,4300,4300,4299,0,85.71428680419922,0,0,0,0,5,0,0,239800.24688720703,27131.011840820313,1601.2677001953125,16459386880,19327344640,3815100416,5477240832
200,1729498247585,4300,4299,4300,4300,4299,4300,4300,4299,0,94.73684692382813,0,0,0,0,0,0,0,239803.90350341797,27133.94757080078,1601.2677001953125,16459386880,19327344640,4086865920,5477240832
200,1729498247786,4300,4299,4300,4300,4299,4300,4300,4299,4.761904716491699,90.47618865966797,0,0,0,0,0,0,0,239807.5913696289,27136.90936279297,1601.2681884765625,16459386880,19327344640,4371808256,5477240832
200,1729498247986,4300,4299,4300,4300,4299,4300,4300,4299,0,42.105262756347656,52.38095474243164,0,0,0,0,0,0,239811.50073242188,27140.105895996094,1601.27001953125,16459386880,19327344640,4650307584,5476716544
