Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729560177428,4051,4300,3463,4300,4053,4299,4300,4300,6.45161247253418,13.333333969116211,3.3333334922790527,6.6666669845581055,6.6666669845581055,6.6666669845581055,3.3333334922790527,6.6666669845581055,0,170354.8057861328,40135.16571044922,5757.1103515625,16459386880,19327344640,1155452928,7741861888
200,1729560177428,4051,4300,3463,4300,4053,4299,4300,4300,6.45161247253418,13.333333969116211,3.3333334922790527,6.6666669845581055,6.6666669845581055,6.6666669845581055,3.3333334922790527,6.6666669845581055,0,170354.8057861328,40135.16571044922,5757.1103515625,16459386880,19327344640,1155452928,7741861888
200,1729560177629,4051,4300,3463,4300,4053,4299,4300,4300,100,4.761904716491699,0,4.761904716491699,0,0,0,0,0,170359.10565185547,40138.864501953125,5757.1129150390625,16459386880,19327344640,1231904768,7741861888
200,1729560177829,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170363.20037841797,40142.322509765625,5757.1129150390625,16459386880,19327344640,1277927424,7741861888
200,1729560178029,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170367.49481201172,40145.997131347656,5757.1129150390625,16459386880,19327344640,1329602560,7741861888
200,1729560178229,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,5,0,170371.68041992188,40149.551818847656,5757.119384765625,16459386880,19327344640,1381572608,7741075456
200,1729560178429,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,4.761904716491699,0,0,170375.79650878906,40153.03918457031,5757.119384765625,16459386880,19327344640,1425559552,7741075456
200,1729560178629,4051,4300,3463,4300,4053,4299,4300,4300,100,4.761904716491699,0,0,0,0,0,0,0,170379.82037353516,40156.412353515625,5757.1240234375,16459386880,19327344640,1470345216,7741075456
200,1729560178830,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170383.9052734375,40159.85168457031,5757.1240234375,16459386880,19327344640,1507610624,7741075456
200,1729560179030,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170388.23431396484,40163.6025390625,5757.1240234375,16459386880,19327344640,1566515200,7741075456
200,1729560179230,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,4.761904716491699,0,170391.9461669922,40166.62145996094,5757.127197265625,16459386880,19327344640,1589157888,7741075456
200,1729560179430,4051,4300,3463,4300,4053,4299,4300,4300,100,5,4.761904716491699,0,0,0,0,0,0,170396.40155029297,40170.50402832031,5757.127197265625,16459386880,19327344640,1656950784,7741075456
200,1729560179630,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170400.47454833984,40173.918395996094,5757.12841796875,16459386880,19327344640,1694777344,7741075456
200,1729560179830,4051,4300,3463,4300,4053,4299,4300,4300,100,4.761904716491699,0,0,0,0,0,0,0,170404.34326171875,40177.160095214844,5757.12841796875,16459386880,19327344640,1740423168,7741075456
200,1729560180031,4051,4300,3463,4300,4053,4299,4300,4300,9.523809432983398,0,0,0,90,0,0,0,0,170408.89587402344,40181.136779785156,5757.13037109375,16459386880,19327344640,1815609344,7740813312
200,1729560180231,4051,4300,3463,4300,4053,4299,4300,4300,0,0,0,0,100,0,0,5,0,170412.79528808594,40184.32507324219,5757.130859375,16459386880,19327344640,1838518272,7740813312
200,1729560180431,4051,4300,3463,4300,4053,4299,4300,4300,0,0,0,0,100,0,0,0,0,170416.6441040039,40187.54443359375,5757.130859375,16459386880,19327344640,1874976768,7740813312
200,1729560180631,4051,4300,3463,4300,4053,4299,4300,4300,50,5,0,0,45,0,0,0,0,170421.20184326172,40191.520935058594,5757.1322021484375,16459386880,19327344640,1950363648,7740813312
200,1729560180831,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170425.35290527344,40195.03845214844,5757.1322021484375,16459386880,19327344640,2002944000,7740813312
200,1729560181031,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170428.88342285156,40197.834899902344,5757.1322021484375,16459386880,19327344640,2002944000,7740813312
200,1729560181232,4051,4300,3463,4300,4053,4299,4300,4300,26.3157901763916,4.761904716491699,0,0,68.42105102539063,0,0,4.761904716491699,0,170433.16595458984,40201.51806640625,5757.1365966796875,16459386880,19327344640,2070474752,7740813312
200,1729560181432,4051,4300,3463,4300,4053,4299,4300,4300,0,0,0,0,100,0,0,0,0,170437.7265625,40205.5087890625,5757.1365966796875,16459386880,19327344640,2145861632,7740813312
200,1729560181632,4051,4300,3463,4300,4053,4299,4300,4300,0,0,0,4.761904716491699,100,0,0,0,0,170442.26397705078,40209.46356201172,5757.1396484375,16459386880,19327344640,2219950080,7740813312
200,1729560181832,4051,4300,3463,4300,4053,4299,4300,4300,95,0,0,0,5.263157844543457,0,0,0,0,170445.93145751953,40212.373107910156,5757.1396484375,16459386880,19327344640,2219945984,7740813312
200,1729560182032,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,4.761904716491699,0,0,0,5,0,170449.14477539063,40214.89904785156,5757.1396484375,16459386880,19327344640,2227396608,7740551168
200,1729560182232,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,4.761904716491699,0,170453.69506835938,40218.87109375,5757.1409912109375,16459386880,19327344640,2301751296,7740551168
200,1729560182433,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170458.2353515625,40222.83288574219,5757.1409912109375,16459386880,19327344640,2377138176,7740551168
200,1729560182633,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170462.77349853516,40226.79180908203,5757.1424560546875,16459386880,19327344640,2451165184,7740289024
200,1729560182833,4051,4300,3463,4300,4053,4299,4300,4300,100,4.761904716491699,0,0,0,0,0,0,0,170466.6414794922,40229.97180175781,5757.1424560546875,16459386880,19327344640,2473230336,7740289024
200,1729560183033,4051,4300,3463,4300,4053,4299,4300,4300,100,0,0,0,0,0,0,0,0,170470.40112304688,40232.989196777344,5757.1424560546875,16459386880,19327344640,2473488384,7740289024
200,1729560183233,4051,4300,3463,4300,4053,4299,4300,4300,20,0,0,0,80,0,0,4.761904716491699,0,170473.75665283203,40235.67987060547,5757.14306640625,16459386880,19327344640,2496131072,7740289024
200,1729560183433,4051,4300,3463,4300,4053,4299,4300,4300,0,0,0,0,100,0,0,0,0,170478.29846191406,40239.650634765625,5757.14306640625,16459386880,19327344640,2563260416,7740289024
200,1729560183634,4051,4300,3463,4300,4053,4299,4300,4300,0,4.761904716491699,0,0,100,0,0,0,0,170482.81323242188,40243.58679199219,5757.14306640625,16459386880,19327344640,2637348864,7740289024
