Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729554292858,3123,4300,4128,3737,4300,4300,4144,3640,0,13.793103218078613,3.5714287757873535,6.896551609039307,3.5714287757873535,6.896551609039307,3.4482758045196533,3.5714287757873535,0,61007.393981933594,209460.23370361328,5734.3387451171875,16459386880,19327344640,1379483648,7403909120
200,1729554292858,3123,4300,4128,3737,4300,4300,4144,3640,0,13.793103218078613,3.5714287757873535,6.896551609039307,3.5714287757873535,6.896551609039307,3.4482758045196533,3.5714287757873535,0,61007.393981933594,209460.23370361328,5734.3387451171875,16459386880,19327344640,1379483648,7403909120
200,1729554293058,3123,4300,4128,3737,4300,4300,4144,3640,4.761904716491699,45,0,0,0,52.6315803527832,5,0,0,61010.97967529297,209463.28204345703,5734.3489990234375,16459386880,19327344640,1381294080,7403909120
200,1729554293259,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61014.44305419922,209466.22393798828,5734.3489990234375,16459386880,19327344640,1383100416,7403909120
200,1729554293459,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,4.761904716491699,0,0,61017.862854003906,209469.1221923828,5734.3489990234375,16459386880,19327344640,1384906752,7403909120
200,1729554293659,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,4.761904716491699,0,0,0,0,61021.303955078125,209472.0313720703,5734.3489990234375,16459386880,19327344640,1384906752,7403909120
200,1729554293859,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61024.73016357422,209474.93029785156,5734.3489990234375,16459386880,19327344640,1378394112,7403909120
200,1729554294059,3123,4300,4128,3737,4300,4300,4144,3640,4.761904716491699,100,0,0,0,0,0,0,0,61028.15478515625,209477.79864501953,5734.3734130859375,16459386880,19327344640,1380687872,7403909120
200,1729554294259,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,4.761904716491699,0,0,61031.563537597656,209480.6820678711,5734.3734130859375,16459386880,19327344640,1380687872,7403909120
200,1729554294459,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61034.97265625,209483.56518554688,5734.3734130859375,16459386880,19327344640,1382494208,7403909120
200,1729554294660,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61038.359924316406,209486.43041992188,5734.3734130859375,16459386880,19327344640,1382494208,7403909120
200,1729554294860,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61041.77453613281,209489.31341552734,5734.3734130859375,16459386880,19327344640,1366159360,7403909120
200,1729554295060,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61045.175048828125,209492.18743896484,5734.3734130859375,16459386880,19327344640,1366159360,7403909120
200,1729554295260,3123,4300,4128,3737,4300,4300,4144,3640,4.761904716491699,100,0,0,0,4.761904716491699,0,0,0,61048.59631347656,209495.07934570313,5734.3734130859375,16459386880,19327344640,1366159360,7403909120
200,1729554295460,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61051.99169921875,209497.943359375,5734.3734130859375,16459386880,19327344640,1366097920,7403909120
200,1729554295660,3123,4300,4128,3737,4300,4300,4144,3640,0,100,0,0,0,0,0,0,0,61055.368408203125,209500.79345703125,5734.3734130859375,16459386880,19327344640,1370103808,7403909120
200,1729554295860,3123,4300,4128,3737,4300,4300,4144,3640,9.523809432983398,100,0,5,0,0,4.761904716491699,0,0,61058.760986328125,209503.65454101563,5734.3734130859375,16459386880,19327344640,1361846272,7403909120
200,1729554296060,3123,4300,4128,3737,4300,4300,4144,3640,70,26.3157901763916,0,0,0,0,0,0,0,61062.38293457031,209506.74920654297,5734.3734130859375,16459386880,19327344640,1365458944,7403909120
200,1729554296260,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,4.761904716491699,0,0,61066.161376953125,209510.00463867188,5734.3734130859375,16459386880,19327344640,1365458944,7403909120
200,1729554296461,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61069.93145751953,209513.25201416016,5734.3734130859375,16459386880,19327344640,1365946368,7403909120
200,1729554296661,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61073.65606689453,209516.45349121094,5734.3734130859375,16459386880,19327344640,1370075136,7403909120
200,1729554296861,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61077.41259765625,209519.68194580078,5734.3734130859375,16459386880,19327344640,1361817600,7403909120
200,1729554297061,3123,4300,4128,3737,4300,4300,4144,3640,100,5,0,0,0,0,0,0,0,61081.17419433594,209522.91577148438,5734.3734130859375,16459386880,19327344640,1361817600,7403909120
200,1729554297261,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,4.761904716491699,0,0,61084.927185058594,209526.14532470703,5734.3734130859375,16459386880,19327344640,1361817600,7403909120
200,1729554297461,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61088.699951171875,209529.3760986328,5734.3734130859375,16459386880,19327344640,1361952768,7403909120
200,1729554297661,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61092.47351074219,209532.64447021484,5734.3734130859375,16459386880,19327344640,1362726912,7403909120
200,1729554297861,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61096.27624511719,209535.91766357422,5734.3734130859375,16459386880,19327344640,1355493376,7403909120
200,1729554298061,3123,4300,4128,3737,4300,4300,4144,3640,100,4.761904716491699,0,0,0,0,0,0,0,61100.01348876953,209539.1337890625,5734.3734130859375,16459386880,19327344640,1355493376,7403909120
200,1729554298261,3123,4300,4128,3737,4300,4300,4144,3640,45,0,0,0,60.000003814697266,0,0,0,0,61103.84289550781,209542.43579101563,5734.3734130859375,16459386880,19327344640,1357299712,7403646976
200,1729554298461,3123,4300,4128,3737,4300,4300,4144,3640,0,0,0,0,100,0,0,0,0,61107.67443847656,209545.7430419922,5734.3734130859375,16459386880,19327344640,1359609856,7403646976
200,1729554298661,3123,4300,4128,3737,4300,4300,4144,3640,0,0,0,0,100,0,0,0,0,61111.51696777344,209549.06188964844,5734.3734130859375,16459386880,19327344640,1359609856,7403646976
200,1729554298862,3123,4300,4128,3737,4300,4300,4144,3640,0,4.761904716491699,0,0,100,0,4.761904716491699,0,0,61115.37390136719,209552.38989257813,5734.3734130859375,16459386880,19327344640,1355472896,7403646976
200,1729554299062,3123,4300,4128,3737,4300,4300,4144,3640,0,0,0,0,100,0,0,0,0,61119.23699951172,209555.71307373047,5734.3734130859375,16459386880,19327344640,1355472896,7403646976
200,1729554299262,3123,4300,4128,3737,4300,4300,4144,3640,0,0,0,0,100,4.761904716491699,0,0,0,61123.05059814453,209559.0199584961,5734.3734130859375,16459386880,19327344640,1355472896,7403646976
200,1729554299462,3123,4300,4128,3737,4300,4300,4144,3640,45,0,0,0,52.38095474243164,0,0,0,0,61126.89373779297,209562.3363647461,5734.3734130859375,16459386880,19327344640,1355730944,7403646976
200,1729554299662,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61130.70739746094,209565.6278076172,5734.3734130859375,16459386880,19327344640,1355988992,7403646976
200,1729554299862,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61134.51611328125,209568.9071044922,5734.3734130859375,16459386880,19327344640,1344270336,7403646976
200,1729554300063,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61138.233947753906,209572.08184814453,5734.3824462890625,16459386880,19327344640,1344212992,7403646976
200,1729554300263,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,4.761904716491699,0,0,61142.061767578125,209575.38256835938,5734.3824462890625,16459386880,19327344640,1344212992,7403646976
200,1729554300463,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61145.865966796875,209578.65502929688,5734.3824462890625,16459386880,19327344640,1352294400,7403646976
200,1729554300663,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61149.669921875,209581.93145751953,5734.3824462890625,16459386880,19327344640,1352294400,7403646976
200,1729554300863,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61153.39990234375,209585.1265258789,5734.3824462890625,16459386880,19327344640,1344036864,7403646976
200,1729554301063,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61157.11260986328,209588.3104248047,5734.3841552734375,16459386880,19327344640,1344036864,7403646976
200,1729554301263,3123,4300,4128,3737,4300,4300,4144,3640,100,5,0,0,0,0,0,0,0,61160.89727783203,209591.5679321289,5734.3841552734375,16459386880,19327344640,1344036864,7403646976
200,1729554301463,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61164.67175292969,209594.81298828125,5734.3841552734375,16459386880,19327344640,1344294912,7403646976
200,1729554301663,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61168.43884277344,209598.05126953125,5734.3861083984375,16459386880,19327344640,1344294912,7403646976
200,1729554301864,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,4.761904716491699,0,0,61172.1806640625,209601.26385498047,5734.3861083984375,16459386880,19327344640,1336037376,7403646976
200,1729554302064,3123,4300,4128,3737,4300,4300,4144,3640,100,4.761904716491699,0,0,0,0,0,0,0,61175.912170410156,209604.466796875,5734.3861083984375,16459386880,19327344640,1344294912,7403646976
200,1729554302264,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61179.695068359375,209607.72265625,5734.3861083984375,16459386880,19327344640,1344294912,7403646976
200,1729554302464,3123,4300,4128,3737,4300,4300,4144,3640,100,4.761904716491699,0,0,0,0,0,0,0,61183.403869628906,209610.9022216797,5734.3861083984375,16459386880,19327344640,1344294912,7403646976
200,1729554302664,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61187.150451660156,209614.10260009766,5734.3861083984375,16459386880,19327344640,1344294912,7403646976
200,1729554302864,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,4.761904716491699,0,0,0,5,0,61190.870544433594,209617.30603027344,5734.3861083984375,16459386880,19327344640,1336213504,7403384832
200,1729554303064,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61194.682067871094,209620.5785522461,5734.3861083984375,16459386880,19327344640,1336213504,7403384832
200,1729554303264,3123,4300,4128,3737,4300,4300,4144,3640,100,0,0,0,0,0,0,0,0,61198.37243652344,209623.74090576172,5734.3861083984375,16459386880,19327344640,1336213504,7403384832
