Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729483932370,3515,3598,3267,4299,2709,2004,4299,3945,3.3333334922790527,10.344827651977539,3.4482758045196533,3.3333334922790527,3.4482758045196533,0,6.896551609039307,0,0,235606.67877197266,65285.580505371094,1538.446044921875,16459386880,19327344640,1215115264,4581502976
200,1729483932370,3515,3598,3267,4299,2709,2004,4299,3945,3.3333334922790527,10.344827651977539,3.4482758045196533,3.3333334922790527,3.4482758045196533,0,6.896551609039307,0,0,235606.67877197266,65285.580505371094,1538.446044921875,16459386880,19327344640,1215115264,4581502976
200,1729483932570,3515,3598,3267,4299,2709,2004,4299,3945,0,20,80,0,0,0,0,0,0,235610.8765258789,65289.127380371094,1538.467529296875,16459386880,19327344640,1720307712,4581502976
200,1729483932771,3515,3598,3267,4299,2709,2004,4299,3945,4.761904716491699,0,100,0,4.761904716491699,0,0,0,0,235615.29754638672,65292.96887207031,1538.467529296875,16459386880,19327344640,1911717888,4581240832
200,1729483932971,3515,3598,3267,4299,2709,2004,4299,3945,0,0,0,0,0,0,100,0,0,235619.75750732422,65296.82635498047,1538.473388671875,16459386880,19327344640,1980276736,4581240832
199,1729483933171,3515,3598,3267,4299,2709,2004,4299,3945,4.545454502105713,0,94.73684692382813,0,0,0,9.523809432983398,0,0,235623.92993164063,65300.39471435547,1538.479736328125,16459386880,19327344640,1877749760,4580716544
199,1729483933371,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235628.06072998047,65303.97821044922,1538.479736328125,16459386880,19327344640,1877917696,4580716544
199,1729483933571,3515,3598,3267,4299,2709,2004,4299,3945,5,0,100,0,0,0,0,0,0,235632.14190673828,65307.50567626953,1538.479736328125,16459386880,19327344640,1877917696,4580716544
199,1729483933771,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,5,0,4.761904716491699,0,0,235636.27990722656,65311.074951171875,1538.49072265625,16459386880,19327344640,1869598720,4580716544
199,1729483933971,3515,3598,3267,4299,2709,2004,4299,3945,4.761904716491699,0,100,0,5,0,0,0,0,235640.4434814453,65314.67413330078,1538.49072265625,16459386880,19327344640,1869598720,4580716544
199,1729483934171,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,4.761904716491699,0,0,0,235644.51989746094,65318.19763183594,1538.49072265625,16459386880,19327344640,1869598720,4580716544
199,1729483934371,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,9.090909004211426,0,235648.57330322266,65321.690979003906,1538.49365234375,16459386880,19327344640,1869598720,4580716544
199,1729483934571,3515,3598,3267,4299,2709,2004,4299,3945,4.761904716491699,0,100,0,0,0,0,0,0,235652.67224121094,65325.215270996094,1538.49365234375,16459386880,19327344640,1869598720,4580716544
199,1729483934771,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235656.73358154297,65328.74304199219,1538.49365234375,16459386880,19327344640,1861345280,4580716544
199,1729483934971,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235660.82788085938,65332.2744140625,1538.4969482421875,16459386880,19327344640,1861341184,4580716544
200,1729483935171,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,5,0,0,0,0,235664.88946533203,65335.78039550781,1538.4969482421875,16459386880,19327344640,1861341184,4580716544
199,1729483935371,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235668.95989990234,65339.29602050781,1538.4969482421875,16459386880,19327344640,1861341184,4580716544
199,1729483935571,3515,3598,3267,4299,2709,2004,4299,3945,9.090909004211426,0,100,0,0,0,0,0,0,235672.99908447266,65342.777099609375,1538.4989013671875,16459386880,19327344640,1861341184,4580716544
200,1729483935772,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235677.10516357422,65346.32604980469,1538.4989013671875,16459386880,19327344640,1853083648,4580716544
199,1729483935972,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235681.1879272461,65349.838623046875,1538.5098876953125,16459386880,19327344640,1852162048,4580716544
200,1729483936172,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235685.24420166016,65353.33154296875,1538.5130615234375,16459386880,19327344640,1852162048,4580716544
200,1729483936372,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235689.32189941406,65356.853942871094,1538.5130615234375,16459386880,19327344640,1852317696,4580716544
200,1729483936572,3515,3598,3267,4299,2709,2004,4299,3945,0,0,100,0,0,0,0,0,0,235693.37109375,65360.35168457031,1538.5130615234375,16459386880,19327344640,1852317696,4580716544
200,1729483936772,3515,3598,3267,4299,2709,2004,4299,3945,4.761904716491699,0,80,0,0,0,15.789472579956055,4.761904716491699,0,235697.5346069336,65363.94708251953,1538.5157470703125,16459386880,19327344640,1832050688,4580454400
200,1729483936972,3515,3598,3267,4299,2709,2004,4299,3945,0,0,0,4.761904716491699,0,0,100,0,0,235701.6215209961,65367.47570800781,1538.5157470703125,16459386880,19327344640,1832017920,4580454400
